-- PRICES --
      | 1713887001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1718543001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 346097001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1178034001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 597435001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1693510001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1693513001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1714178001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2257189001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2257190001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2257191001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2257192001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1950416001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1718580001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 345907001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 345912001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1718533001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1708675001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1714231001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925444001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 761886001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925447001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925748001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 210265001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1342365001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1618572001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 205458001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925448001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925449001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925450001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925451001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925452001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925453001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 762352001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925965001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2720933001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 350793001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1643378001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1643401001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1643403001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1073032001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1073033001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 148084001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1718505001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925457001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925459001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925460001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925471001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 925479001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 374305001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1729288001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2033364001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2033369001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2033372001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2033375001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 81236001    | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 80387001    | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 81423001    | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 191957001   | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 8513215001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1950579001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2469676001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1847191001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 1847199001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
